category,tokens,avg_hot,pct
creative,94,9209.90625,83.66557276526163
code,86,9160.5625,83.21731922238372
factual,89,8922.125,81.05128088662791
reasoning,95,9428.75,85.65361555232558
conversational,86,8954.21875,81.34283021438954
