category,tokens,avg_hot,pct
creative,158,10789.325,78.04777922453704
code,150,10764.0,77.86458333333333
factual,153,10107.575,73.11613859953705
reasoning,159,10630.55,76.8992332175926
conversational,150,10705.5,77.44140625
