Layer,Neurons,Nonzero,Max,Mean,Std,Gini,Hot@80%,Hot@80% %,Hot@90%,Hot@90% %,Hot@95%,Hot@95% %
0,28672,28662,810931,65619.74428013393,108782.67780420458,0.6864908690419652,7530,26.262555803571427,11416,39.815848214285715,15213,53.05873325892857
1,28672,28672,814733,126429.20347377232,64012.41980936901,0.22212315160495727,19886,69.35686383928571,24021,83.77859933035714,26257,91.5771484375
2,28672,28672,814350,72981.22816685268,50455.029410484196,0.3017421157740312,17997,62.7685546875,22456,78.3203125,25125,87.62904575892857
3,28672,28672,818216,78647.85145786831,58769.75728173144,0.31339912850552054,17886,62.381417410714285,22423,78.20521763392857,25131,87.64997209821429
4,28672,28672,778649,70837.47077287946,58742.49156806821,0.3760343885100017,16235,56.62318638392857,21021,73.3154296875,24099,84.05064174107143
5,28672,28672,765765,66095.58482142857,59544.22144819112,0.4061915983879038,15444,53.86439732142857,20266,70.68219866071429,23466,81.84291294642857
6,28672,28672,768267,65699.17466517857,62641.29277555793,0.4114687341898947,15362,53.578404017857146,20120,70.17299107142857,23286,81.21512276785714
7,28672,28672,778924,66736.14637974331,61058.043390813364,0.40361992041962075,15557,54.258510044642854,20314,70.849609375,23440,81.75223214285714
8,28672,28672,744671,66455.65189034598,54100.22114875425,0.374248073507704,16145,56.309291294642854,20683,72.13657924107143,23638,82.44280133928571
9,28672,28672,739442,68158.35961914062,56725.74600773104,0.3878143501485913,15767,54.990931919642854,20300,70.80078125,23317,81.3232421875
10,28672,28672,719203,69688.21711077009,49562.89733077056,0.34389629741795097,16726,58.335658482142854,21120,73.66071428571429,23959,83.56236049107143
11,28672,28672,745094,68403.7744140625,53557.58614812056,0.3699931126009565,16183,56.441824776785715,20686,72.14704241071429,23622,82.38699776785714
12,28672,28672,815456,65943.10407366071,60330.24046901832,0.4156185190354095,15239,53.1494140625,19942,69.55217633928571,23064,80.44084821428571
13,28672,28672,742571,66535.9353376116,58872.352203740425,0.4020712811487783,15512,54.1015625,20119,70.16950334821429,23204,80.92912946428571
14,28672,28672,759391,67141.48231724331,57715.178082240796,0.391563141343778,15800,55.106026785714285,20365,71.02748325892857,23373,81.5185546875
15,28672,28672,681405,65730.00125558036,58105.024093509885,0.4010495158065882,15570,54.30385044642857,20206,70.47293526785714,23281,81.19768415178571
16,28672,28672,789610,65629.93568638393,58082.69282634356,0.396485034083407,15720,54.82700892857143,20337,70.92982700892857,23380,81.54296875
17,28672,28672,695333,65634.02891322544,61653.85191872654,0.41686890221885164,15246,53.173828125,19967,69.63936941964286,23109,80.59779575892857
18,28672,28672,740114,65768.6310686384,58896.86706440397,0.39438493060919605,15791,55.074637276785715,20405,71.1669921875,23440,81.75223214285714
19,28672,28672,690769,65640.98583984375,51655.40577554922,0.3577814975023078,16593,57.871791294642854,21087,73.54561941964286,23971,83.60421316964286
20,28672,28672,732617,65749.20563616071,47860.97379081337,0.3293935671895145,17209,60.020228794642854,21575,75.24762834821429,24309,84.78306361607143
21,28672,28672,736749,65713.07153320312,47159.64428810422,0.3225877994838365,17354,60.525948660714285,21700,75.68359375,24414,85.14927455357143
22,28672,28672,762823,65698.00331333706,44495.59858920293,0.30413835683028345,17735,61.854771205357146,22015,76.7822265625,24648,85.96540178571429
23,28672,28672,729821,65667.17888532366,46019.6130156183,0.30625381998401885,17774,61.990792410714285,22065,76.95661272321429,24691,86.11537388392857
24,28672,28669,757198,65623.39484514509,53314.19014958117,0.3388724573783945,17224,60.072544642857146,21695,75.66615513392857,24479,85.3759765625
25,28672,28672,784175,65622.81340680804,60036.411716564486,0.38309103785621723,16243,56.651088169642854,20941,73.03641183035714,23949,83.52748325892857
26,28672,28672,748388,65639.02134486607,51840.30434232211,0.34779377218579405,16980,59.22154017857143,21500,74.98604910714286,24325,84.8388671875
