Layer,Neurons,Nonzero,Max,Mean,Std,Gini,Hot@80%,Hot@80% %,Hot@90%,Hot@90% %,Hot@95%,Hot@95% %
27,28672,28672,720454,65779.81947544643,48770.85329310843,0.32608116134997445,17423,60.7666015625,21836,76.15792410714286,24549,85.6201171875
28,28672,28672,761045,65707.6902204241,45200.552852111534,0.30625724810492116,17810,62.11635044642857,22141,77.2216796875,24774,86.40485491071429
29,28672,28672,660354,65858.64006696429,42697.40133269474,0.29027344082921097,18133,63.242885044642854,22376,78.04129464285714,24936,86.96986607142857
30,28672,28672,691001,65897.21491350446,42069.54166315953,0.2817384337310728,18317,63.88462611607143,22526,78.564453125,25047,87.35700334821429
31,28672,28672,728637,65913.68781389509,43411.18088771773,0.27948023000109856,18430,64.27873883928571,22636,78.94810267857143,25128,87.63950892857143
32,28672,28672,725721,65765.423828125,45266.75936555786,0.28460864083592696,18363,64.04506138392857,22596,78.80859375,25116,87.59765625
33,28672,28672,755608,65666.69224330357,49088.98031769321,0.3075100815507353,17991,62.747628348214285,22360,77.98549107142857,24963,87.06403459821429
34,28672,28672,707630,66255.09957449777,44551.801124118385,0.2854321293832773,18317,63.88462611607143,22555,78.66559709821429,25077,87.46163504464286
35,28672,28672,696919,66806.23531668527,44971.423911498474,0.28087670827049394,18444,64.32756696428571,22673,79.0771484375,25181,87.82435825892857
36,28672,28672,807211,66826.80925641741,45497.11815443788,0.28412966603178774,18359,64.03111049107143,22611,78.86090959821429,25138,87.67438616071429
37,28672,28672,722534,67152.81996372768,47323.16218314263,0.2850138439050665,18423,64.25432477678571,22672,79.07366071428571,25193,87.8662109375
38,28672,28672,760965,65880.11526925223,47441.42677905368,0.2932188273371606,18267,63.710239955357146,22573,78.72837611607143,25126,87.63253348214286
39,28672,28672,803300,65828.91786411831,54775.756262533876,0.3293866341950769,17652,61.56529017857143,22170,77.32282366071429,24888,86.80245535714286
40,28672,28672,783699,66040.0222516741,49887.333092275374,0.30013295555468467,18240,63.61607142857143,22579,78.74930245535714,25146,87.70228794642857
41,28672,28672,745257,65964.40883091518,47792.26366672296,0.2801691382317331,18563,64.74260602678571,22760,79.38058035714286,25234,88.00920758928571
42,28672,28672,676223,65711.21118164062,47584.017908972426,0.2720153113004698,18751,65.39829799107143,22899,79.86537388392857,25326,88.330078125
43,28672,28672,778129,65650.5458984375,48045.40338284838,0.2730916713474821,18773,65.47502790178571,22920,79.93861607142857,25340,88.37890625
44,28672,28672,789215,65638.57191685268,39779.32238381593,0.23868724144463752,19175,66.87709263392857,23141,80.70940290178571,25447,88.75209263392857
45,28672,28672,629174,65632.36356026786,36228.560236882324,0.22185442289302262,19451,67.83970424107143,23326,81.35463169642857,25561,89.14969308035714
46,28672,28672,668210,65700.94792829241,32708.414706776675,0.20554408922109907,19668,68.59654017857143,23453,81.79757254464286,25621,89.35895647321429
47,28672,28672,770307,65953.83816964286,31378.13204430678,0.20268767306954136,19680,68.63839285714286,23458,81.81501116071429,25623,89.36593191964286
48,28672,28672,740230,65844.04586356027,28822.749033096592,0.19139915506136848,19864,69.28013392857143,23593,82.28585379464286,25714,89.68331473214286
49,28672,28672,613956,65697.8369140625,27316.132287414595,0.18368380194666248,19978,69.677734375,23672,82.56138392857143,25768,89.87165178571429
50,28672,28672,602642,65643.56246512277,24790.215705027742,0.17345022160611073,20131,70.21135602678571,23773,82.91364397321429,25831,90.09137834821429
51,28672,28672,589398,65693.39439174107,23253.32336837435,0.16760423205324798,20224,70.53571428571429,23856,83.203125,25901,90.33551897321429
52,28672,28672,732157,65825.70961216518,21708.852594002077,0.16143982820325928,20306,70.82170758928571,23899,83.35309709821429,25919,90.39829799107143
53,28672,28672,564362,65760.8962751116,21961.359219252085,0.1587946135528264,20352,70.98214285714286,23939,83.49260602678571,25943,90.48200334821429
54,28672,28672,492717,65696.18289620536,20052.657438132377,0.15325283522548894,20434,71.26813616071429,23994,83.68443080357143,25978,90.60407366071429
55,28672,28672,533138,65639.42442103794,21204.224764726827,0.15445968625516596,20452,71.33091517857143,24016,83.76116071428571,26005,90.6982421875
56,28672,28672,511072,65629.1728515625,19718.405752088456,0.15146031927154574,20466,71.37974330357143,24012,83.74720982142857,25986,90.63197544642857
57,28672,28672,592557,65630.271484375,21128.575202577824,0.15188391319603234,20481,71.43205915178571,24013,83.75069754464286,25974,90.59012276785714
58,28672,28672,623370,65631.24846540179,21162.502027693317,0.1510812920687789,20495,71.48088727678571,24021,83.77859933035714,25972,90.58314732142857
59,28672,28672,747391,65631.7443498884,20580.93741434461,0.14984675101506234,20504,71.51227678571429,24022,83.78208705357143,25968,90.56919642857143
60,28672,28672,626627,65632.13933454241,20459.05426643991,0.1482870467215225,20528,71.59598214285714,24031,83.8134765625,25967,90.56570870535714
61,28672,28672,464011,65632.44866071429,19232.02612133753,0.14542192536692586,20572,71.74944196428571,24055,83.89718191964286,25972,90.58314732142857
62,28672,28672,677360,65632.56546456473,19712.66786653885,0.14660898672627173,20551,71.67619977678571,24046,83.86579241071429,25979,90.60756138392857
63,28672,28672,700812,65632.28034319196,21028.982701118435,0.14781976248653653,20546,71.65876116071429,24036,83.83091517857143,25960,90.54129464285714
64,28672,28672,611994,65631.97492327009,22222.0974692189,0.15077214102489428,20509,71.52971540178571,24009,83.73674665178571,25936,90.45758928571429
65,28672,28672,582623,65631.84814453125,21679.65544337786,0.15069511930000573,20518,71.56110491071429,24016,83.76116071428571,25942,90.478515625
66,28672,28672,628458,65631.29293387277,23214.582114934114,0.1576074513458907,20408,71.17745535714286,23940,83.49609375,25896,90.31808035714286
67,28672,28672,602463,65631.09807477679,25591.047972710985,0.16323759581940397,20354,70.98911830357143,23902,83.36356026785714,25866,90.21344866071429
68,28672,28672,597217,65630.73726981027,28061.384965090994,0.17280603044559253,20214,70.50083705357143,23794,82.98688616071429,25784,89.92745535714286
69,28672,28672,686375,65630.53571428571,30489.654363414065,0.17761106132166887,20195,70.4345703125,23814,83.056640625,25828,90.08091517857143
70,28672,28672,650405,65630.16116768973,32667.64229734643,0.18649637052455884,20097,70.0927734375,23756,82.85435267857143,25794,89.96233258928571
71,28672,28672,702945,65629.26827566964,34441.0009883714,0.19442261407921382,19965,69.63239397321429,23646,82.470703125,25705,89.65192522321429
72,28672,28672,708174,65628.91301618304,37417.214005773596,0.20921328775113807,19764,68.93136160714286,23517,82.02078683035714,25625,89.37290736607143
73,28672,28671,780062,65627.99762834821,46020.79122913699,0.23643280026962493,19439,67.7978515625,23327,81.35811941964286,25531,89.04506138392857
74,28672,28672,748825,65627.89836774554,45552.78858154145,0.2492022039464073,19173,66.8701171875,23126,80.65708705357143,25378,88.51143973214286
75,28672,28672,788852,65626.41085379464,52045.748196785644,0.28510317912498806,18631,64.97977120535714,22758,79.37360491071429,25138,87.67438616071429
76,28672,28671,745119,65626.60947963169,57940.720662966036,0.3241734394225228,17842,62.227957589285715,22134,77.197265625,24659,86.00376674107143
77,28672,28671,776462,65626.27260044643,68804.55772453082,0.3835988553039155,16693,58.22056361607143,21322,74.365234375,24127,84.14829799107143
78,28672,28672,789517,65626.37224469866,82562.29908937035,0.4543984766952572,15068,52.553013392857146,20030,69.85909598214286,23160,80.77566964285714
79,28672,28570,816878,65627.69391741071,104144.08874956827,0.5693748745391863,11896,41.489955357142854,17430,60.791015625,21231,74.0478515625
